last,first,state,congress,icpsr,majority,afam,latino,votepct,chair,subchr,seniority,state_leg,state_leg_prof,maj_leader,min_leader,votepct_sq,les,south_dem,minwomen,meddist,majwomen,house_service,house_les,amles,power,up_for_reelection,freshman,retiree,altamles,sensq,thomas_name,st_name,cd,house,senate,fullamles
,,,93,7232,1,0,0,100,1,1,23,1,0.191,0,0,10000,6.0179658,1,0,0.30599999,0,,,,0,,0,,,529,"Patman, Wright",TX,1,1,0,
,,,93,2672,1,0,0,75,1,0,12,1,0.28099999,0,0,5625,2.9356627,1,0,0.071000002,0,,,,0,,0,,,144,"Dorn, William",SC,3,1,0,
,,,93,5098,1,0,0,72,0,0,8,1,0.211,0,0,5184,0.18089432,0,0,0.322,0,,,,1,,0,,,64,"Karth, Joseph",MN,4,1,0,
,,,93,10721,0,0,0,77,0,0,5,0,0,0,1,5929,0.24188153,0,0,0.242,0,,,,1,,0,,,25,"Edwards, Jack",AL,1,1,0,
,,,93,11036,0,0,0,62,0,0,4,0,0,0,0,3844,0.049616724,0,0,0.26499999,0,,,,1,,0,,,16,"Myers, John",IN,7,1,0,
,,,93,10613,1,0,0,52,0,0,6,0,0,0,0,2704,0.33181185,0,0,0.36000001,0,,,,1,,0,,,36,"Patten, Edward",NJ,15,1,0,
,,,93,13034,0,0,0,52,0,0,2,1,0.35499999,0,0,2704,0.0113705,0,0,0.43599999,0,,,,0,,0,,,4,"Powell, Walter",OH,8,1,0,
,,,93,14044,0,0,0,50,0,0,1,1,0.212,0,0,2500,0.16599672,0,0,0.107,0,,,,0,,1,,,1,"Pritchard, Joel",WA,1,1,0,
,,,93,14030,1,0,0,55,0,0,1,0,0,0,0,3025,0.34111497,0,0,0.17899999,0,,,,0,,1,,,1,"Litton, Jerry",MO,6,1,0,
McGee,Gale,WY,93,6249,1,0,0,56,1,1,8,0,0,0,0,3136,0.91991633,0,0,0.012999998,0,0,0,,1,0,0,0,,64,,,,0,1,
,,,93,10551,1,0,0,65,0,1,6,0,0,0,0,4225,1.141251,0,0,0.537,0,,,,0,,0,,,36,"Rosenthal, Benjamin",NY,8,1,0,
Brock,Bill,TN,93,10571,0,0,0,51,0,0,2,0,0,0,0,2601,0.65588146,0,0,0.5,0,0,0,,0,0,0,0,,4,,,,0,1,
,,,93,10767,1,0,0,100,0,1,5,1,0.164,0,0,10000,0.68972367,1,0,0.377,0,,,,0,,0,,,25,"Satterfield, David",VA,3,1,0,
,,,93,7671,0,0,0,71,0,0,8,1,0.211,0,0,5041,1.1234864,0,0,0.215,0,,,,0,,0,,,64,"Quie, Albert",MN,1,1,0,
,,,93,10703,1,0,0,53,0,1,5,0,0,0,0,2809,0.62766463,0,0,0.35600001,0,,,,0,,0,,,25,"Annunzio, Frank",IL,11,1,0,
,,,93,12019,1,0,0,70,0,0,3,0,0,0,0,4900,1.8198628,0,0,0.45700002,0,,,,0,,0,,,9,"Koch, Edward",NY,18,1,0,
,,,93,7498,1,0,0,100,1,1,19,1,0.191,0,0,10000,4.2455916,1,0,0.075999998,0,,,,0,,0,,,361,"Poage, W.",TX,11,1,0,
,,,93,10525,0,0,0,100,0,0,7,0,0,0,0,10000,0.60464096,0,0,0.229,0,,,,0,,0,,,49,"Harsha, William",OH,6,1,0,
,,,93,12023,1,0,0,66,0,0,3,1,0.28099999,0,0,4356,0.016538909,1,0,0.048,0,,,,0,,0,,,9,"Mann, James",SC,4,1,0,
,,,93,10563,1,0,0,100,0,1,7,1,0.142,0,0,10000,2.6630874,1,0,0.072999999,0,,,,0,,0,,,49,"Stephens, Robert",GA,10,1,0,
,,,93,10550,1,0,0,70,0,1,6,1,0.191,0,0,4900,0.18253563,1,0,0.018999999,0,,,,0,,0,,,36,"Roberts, Ray",TX,4,1,0,
Randolph,Jennings,WV,93,7722,1,0,0,66,1,1,8,0,0,0,0,4356,1.5497558,0,0,0.117,0,0,0,,0,0,0,0,,64,,,,0,1,
